codes,boardtype
000807.SZ,主板
000809.SZ,主板
000810.SZ,主板
000811.SZ,主板
000812.SZ,主板
000813.SZ,主板
000815.SZ,主板
000816.SZ,主板
000818.SZ,主板
000819.SZ,主板
000820.SZ,主板
000821.SZ,主板
000822.SZ,主板
000823.SZ,主板
000825.SZ,主板
000826.SZ,主板
000828.SZ,主板
000829.SZ,主板
000830.SZ,主板
000831.SZ,主板
000833.SZ,主板
000835.SZ,主板
000836.SZ,主板
000837.SZ,主板
000838.SZ,主板
000839.SZ,主板
000848.SZ,主板
000850.SZ,主板
000851.SZ,主板
000852.SZ,主板
000856.SZ,主板
000858.SZ,主板
000859.SZ,主板
000860.SZ,主板
000861.SZ,主板
000862.SZ,主板
000863.SZ,主板
000868.SZ,主板
000869.SZ,主板
000875.SZ,主板
000876.SZ,主板
000877.SZ,主板
000878.SZ,主板
000880.SZ,主板
000881.SZ,主板
000882.SZ,主板
000883.SZ,主板
000885.SZ,主板
000886.SZ,主板
000887.SZ,主板
000888.SZ,主板
000889.SZ,主板
000890.SZ,主板
000892.SZ,主板
000893.SZ,主板
000895.SZ,主板
000897.SZ,主板
000898.SZ,主板
000899.SZ,主板
000900.SZ,主板
000901.SZ,主板
000902.SZ,主板
000903.SZ,主板
000905.SZ,主板
000906.SZ,主板
000908.SZ,主板
000909.SZ,主板
000910.SZ,主板
000911.SZ,主板
000912.SZ,主板
000913.SZ,主板
000915.SZ,主板
000917.SZ,主板
000918.SZ,主板
000919.SZ,主板
000920.SZ,主板
000921.SZ,主板
000922.SZ,主板
000923.SZ,主板
000925.SZ,主板
000926.SZ,主板
000927.SZ,主板
000928.SZ,主板
000929.SZ,主板
000930.SZ,主板
000931.SZ,主板
000932.SZ,主板
000933.SZ,主板
000935.SZ,主板
000936.SZ,主板
000937.SZ,主板
000938.SZ,主板
000948.SZ,主板
000949.SZ,主板
000950.SZ,主板
000951.SZ,主板
000952.SZ,主板
000953.SZ,主板
000955.SZ,主板
000957.SZ,主板
000958.SZ,主板
000959.SZ,主板
000960.SZ,主板
000961.SZ,主板
000962.SZ,主板
000963.SZ,主板
000965.SZ,主板
000966.SZ,主板
000967.SZ,主板
000968.SZ,主板
000969.SZ,主板
000970.SZ,主板
000971.SZ,主板
000972.SZ,主板
000973.SZ,主板
000975.SZ,主板
000976.SZ,主板
000977.SZ,主板
000978.SZ,主板
000980.SZ,主板
000981.SZ,主板
000982.SZ,主板
000983.SZ,主板
000985.SZ,主板
000987.SZ,主板
000988.SZ,主板
000989.SZ,主板
000990.SZ,主板
000993.SZ,主板
000995.SZ,主板
000996.SZ,主板
000997.SZ,主板
000998.SZ,主板
000999.SZ,主板
001696.SZ,主板
001872.SZ,主板
001896.SZ,主板
001914.SZ,主板
001965.SZ,主板
001979.SZ,主板
002001.SZ,中小板
002002.SZ,中小板
002003.SZ,中小板
