WindCodes,IPO_DATE,MKT
002344.SZ,2010/1/26,中小板
002345.SZ,2010/1/28,中小板
002346.SZ,2010/1/28,中小板
002347.SZ,2010/1/28,中小板
002348.SZ,2010/2/3,中小板
002349.SZ,2010/2/3,中小板
002350.SZ,2010/2/3,中小板
002351.SZ,2010/2/5,中小板
002352.SZ,2010/2/5,中小板
002353.SZ,2010/2/5,中小板
002354.SZ,2010/2/9,中小板
002355.SZ,2010/2/9,中小板
002356.SZ,2010/2/9,中小板
002357.SZ,2010/2/10,中小板
002358.SZ,2010/2/10,中小板
002359.SZ,2010/2/10,中小板
002360.SZ,2010/3/3,中小板
002361.SZ,2010/3/3,中小板
002362.SZ,2010/3/3,中小板
002363.SZ,2010/3/5,中小板
002364.SZ,2010/3/5,中小板
002365.SZ,2010/3/5,中小板
002366.SZ,2010/3/12,中小板
002367.SZ,2010/3/12,中小板
002368.SZ,2010/3/12,中小板
002369.SZ,2010/3/16,中小板
002370.SZ,2010/3/16,中小板
002371.SZ,2010/3/16,中小板
002372.SZ,2010/3/18,中小板
002373.SZ,2010/3/18,中小板
002374.SZ,2010/3/18,中小板
002375.SZ,2010/3/23,中小板
002376.SZ,2010/3/23,中小板
002377.SZ,2010/3/23,中小板
002378.SZ,2010/3/31,中小板
002379.SZ,2010/3/31,中小板
002380.SZ,2010/3/31,中小板
002381.SZ,2010/4/2,中小板
002382.SZ,2010/4/2,中小板
002383.SZ,2010/4/2,中小板
002384.SZ,2010/4/9,中小板
002385.SZ,2010/4/9,中小板
002386.SZ,2010/4/9,中小板
002387.SZ,2010/4/13,中小板
002388.SZ,2010/4/13,中小板
002389.SZ,2010/4/13,中小板
002390.SZ,2010/4/16,中小板
002391.SZ,2010/4/16,中小板
002392.SZ,2010/4/23,中小板
002393.SZ,2010/4/23,中小板
002394.SZ,2010/4/23,中小板
002395.SZ,2010/4/29,中小板
002396.SZ,2010/6/23,中小板
002397.SZ,2010/4/29,中小板
002398.SZ,2010/5/6,中小板
002399.SZ,2010/5/6,中小板
002400.SZ,2010/5/6,中小板
002401.SZ,2010/5/6,中小板
002402.SZ,2010/5/11,中小板
002403.SZ,2010/5/11,中小板
002404.SZ,2010/5/11,中小板
002405.SZ,2010/5/18,中小板
002406.SZ,2010/5/18,中小板
002407.SZ,2010/5/18,中小板
002408.SZ,2010/5/18,中小板
002409.SZ,2010/5/25,中小板
002410.SZ,2010/5/25,中小板
002411.SZ,2010/5/25,中小板
002412.SZ,2010/5/25,中小板
002413.SZ,2010/5/28,中小板
002414.SZ,2010/7/16,中小板
002415.SZ,2010/5/28,中小板
002416.SZ,2010/5/28,中小板
002417.SZ,2010/6/1,中小板
002418.SZ,2010/6/1,中小板
002419.SZ,2010/6/1,中小板
002420.SZ,2010/6/1,中小板
002421.SZ,2010/6/3,中小板
002422.SZ,2010/6/3,中小板
002423.SZ,2010/6/3,中小板
002424.SZ,2010/6/3,中小板
002425.SZ,2010/6/8,中小板
002426.SZ,2010/6/8,中小板
002427.SZ,2010/6/8,中小板
002428.SZ,2010/6/8,中小板
002429.SZ,2010/6/10,中小板
002430.SZ,2010/6/10,中小板
002431.SZ,2010/6/10,中小板
002432.SZ,2010/6/10,中小板
002433.SZ,2010/6/18,中小板
002434.SZ,2010/6/18,中小板
002435.SZ,2010/6/18,中小板
002436.SZ,2010/6/18,中小板
002437.SZ,2010/6/23,中小板
002438.SZ,2010/6/23,中小板
002439.SZ,2010/6/23,中小板
002440.SZ,2010/7/6,中小板
002441.SZ,2010/7/6,中小板
002442.SZ,2010/7/6,中小板
002443.SZ,2010/7/6,中小板
002444.SZ,2010/7/13,中小板
002445.SZ,2010/7/13,中小板
002446.SZ,2010/7/13,中小板
002447.SZ,2010/7/13,中小板
002448.SZ,2010/7/16,中小板
002449.SZ,2010/7/16,中小板
002450.SZ,2010/7/16,中小板
002451.SZ,2010/7/20,中小板
002452.SZ,2010/7/20,中小板
002453.SZ,2010/7/20,中小板
002454.SZ,2010/7/20,中小板
002455.SZ,2010/8/3,中小板
002456.SZ,2010/8/3,中小板
002457.SZ,2010/8/3,中小板
002458.SZ,2010/8/10,中小板
002459.SZ,2010/8/10,中小板
002460.SZ,2010/8/10,中小板
002461.SZ,2010/8/18,中小板
002462.SZ,2010/8/18,中小板
002463.SZ,2010/8/18,中小板
002464.SZ,2010/8/31,中小板
002465.SZ,2010/8/31,中小板
002466.SZ,2010/8/31,中小板
002467.SZ,2010/9/8,中小板
002468.SZ,2010/9/8,中小板
002469.SZ,2010/9/8,中小板
002470.SZ,2010/9/8,中小板
002471.SZ,2010/9/10,中小板
002472.SZ,2010/9/10,中小板
002473.SZ,2010/9/10,中小板
002474.SZ,2010/9/15,中小板
002475.SZ,2010/9/15,中小板
002476.SZ,2010/9/15,中小板
002478.SZ,2010/9/21,中小板
002479.SZ,2010/9/21,中小板
002480.SZ,2010/9/21,中小板
002481.SZ,2010/9/21,中小板
002482.SZ,2010/9/29,中小板
002483.SZ,2010/9/29,中小板
002484.SZ,2010/9/29,中小板
002485.SZ,2010/10/15,中小板
002486.SZ,2010/10/15,中小板
002487.SZ,2010/10/15,中小板
002488.SZ,2010/10/21,中小板
002489.SZ,2010/10/21,中小板
002490.SZ,2010/10/21,中小板
002491.SZ,2010/10/21,中小板
002492.SZ,2010/11/2,中小板
002493.SZ,2010/11/2,中小板
002494.SZ,2010/11/2,中小板
002495.SZ,2010/11/2,中小板
002496.SZ,2010/11/9,中小板
002497.SZ,2010/11/9,中小板
002498.SZ,2010/11/9,中小板
002499.SZ,2010/11/9,中小板
002500.SZ,2010/11/15,中小板
002501.SZ,2010/11/17,中小板
002502.SZ,2010/11/17,中小板
002503.SZ,2010/11/17,中小板
002504.SZ,2010/11/18,中小板
002505.SZ,2010/11/18,中小板
002506.SZ,2010/11/18,中小板
002507.SZ,2010/11/23,中小板
002508.SZ,2010/11/23,中小板
002510.SZ,2010/11/25,中小板
002511.SZ,2010/11/25,中小板
002512.SZ,2010/12/3,中小板
002513.SZ,2010/12/3,中小板
002514.SZ,2010/12/3,中小板
002515.SZ,2010/12/3,中小板
002516.SZ,2010/12/7,中小板
002517.SZ,2010/12/7,中小板
002518.SZ,2010/12/7,中小板
002519.SZ,2010/12/7,中小板
002520.SZ,2010/12/10,中小板
002521.SZ,2010/12/10,中小板
002522.SZ,2010/12/10,中小板
002523.SZ,2010/12/10,中小板
002524.SZ,2010/12/17,中小板
002526.SZ,2010/12/17,中小板
002527.SZ,2010/12/24,中小板
002528.SZ,2010/12/24,中小板
002529.SZ,2010/12/24,中小板
002530.SZ,2010/12/31,中小板
002531.SZ,2010/12/31,中小板
002532.SZ,2010/12/31,中小板
002533.SZ,2010/12/31,中小板
002534.SZ,2011/1/10,中小板
002535.SZ,2011/1/11,中小板
002536.SZ,2011/1/11,中小板
002537.SZ,2011/1/10,中小板
002538.SZ,2011/1/18,中小板
002539.SZ,2011/1/18,中小板
002540.SZ,2011/1/18,中小板
002541.SZ,2011/1/18,中小板
002542.SZ,2011/1/28,中小板
002543.SZ,2011/1/28,中小板
002544.SZ,2011/1/28,中小板
002545.SZ,2011/2/11,中小板
002546.SZ,2011/2/11,中小板
002547.SZ,2011/2/18,中小板
002548.SZ,2011/2/18,中小板
002549.SZ,2011/2/18,中小板
002550.SZ,2011/2/18,中小板
002551.SZ,2011/2/25,中小板
002552.SZ,2011/2/25,中小板
002553.SZ,2011/2/25,中小板
002554.SZ,2011/2/25,中小板
002555.SZ,2011/3/2,中小板
002556.SZ,2011/3/2,中小板
002557.SZ,2011/3/2,中小板
002558.SZ,2011/3/2,中小板
002559.SZ,2011/3/3,中小板
002560.SZ,2011/3/3,中小板
002561.SZ,2011/3/3,中小板
002562.SZ,2011/3/10,中小板
002563.SZ,2011/3/11,中小板
002564.SZ,2011/3/10,中小板
002565.SZ,2011/3/18,中小板
002566.SZ,2011/3/18,中小板
002567.SZ,2011/3/25,中小板
002568.SZ,2011/3/25,中小板
002569.SZ,2011/4/12,中小板
002570.SZ,2011/4/12,中小板
002571.SZ,2011/4/12,中小板
002572.SZ,2011/4/12,中小板
002573.SZ,2011/4/22,中小板
002574.SZ,2011/4/22,中小板
002575.SZ,2011/4/22,中小板
002576.SZ,2011/4/28,中小板
002577.SZ,2011/4/28,中小板
002578.SZ,2011/4/28,中小板
002579.SZ,2011/5/6,中小板
002580.SZ,2011/5/6,中小板
002581.SZ,2011/5/20,中小板
002582.SZ,2011/5/20,中小板
002583.SZ,2011/5/27,中小板
002584.SZ,2011/6/2,中小板
002585.SZ,2011/6/2,中小板
002586.SZ,2011/6/2,中小板
002587.SZ,2011/6/10,中小板
002588.SZ,2011/6/10,中小板
002589.SZ,2011/6/10,中小板
002590.SZ,2011/6/10,中小板
002591.SZ,2011/6/21,中小板
002592.SZ,2011/11/11,中小板
002593.SZ,2011/6/28,中小板
002594.SZ,2011/6/30,中小板
002595.SZ,2011/6/28,中小板
002596.SZ,2011/7/7,中小板
002597.SZ,2011/7/7,中小板
002598.SZ,2011/7/7,中小板
002599.SZ,2011/7/15,中小板
002600.SZ,2011/7/15,中小板
002601.SZ,2011/7/15,中小板
002602.SZ,2011/7/28,中小板
002603.SZ,2011/7/28,中小板
002605.SZ,2011/8/5,中小板
002606.SZ,2011/8/5,中小板
002607.SZ,2011/8/10,中小板
002608.SZ,2011/8/10,中小板
002609.SZ,2011/8/15,中小板
002610.SZ,2011/8/15,中小板
002611.SZ,2011/8/30,中小板
002612.SZ,2011/8/30,中小板
002613.SZ,2011/8/30,中小板
002614.SZ,2011/9/9,中小板
002615.SZ,2011/9/9,中小板
002616.SZ,2011/9/20,中小板
002617.SZ,2011/9/20,中小板
002618.SZ,2011/9/20,中小板
002619.SZ,2011/9/29,中小板
002620.SZ,2011/9/29,中小板
002621.SZ,2011/9/29,中小板
002622.SZ,2011/10/18,中小板
002623.SZ,2011/10/13,中小板
002624.SZ,2011/10/28,中小板
002625.SZ,2011/11/3,中小板
002626.SZ,2011/10/28,中小板
002627.SZ,2011/11/3,中小板
002628.SZ,2011/11/3,中小板
002629.SZ,2011/11/3,中小板
002630.SZ,2011/11/11,中小板
002631.SZ,2011/11/11,中小板
002632.SZ,2011/11/22,中小板
002633.SZ,2011/11/22,中小板
002634.SZ,2011/12/5,中小板
002635.SZ,2011/11/25,中小板
002636.SZ,2011/11/25,中小板
002637.SZ,2011/11/25,中小板
002638.SZ,2011/11/25,中小板
002639.SZ,2011/12/5,中小板
002640.SZ,2011/12/8,中小板
002641.SZ,2011/12/8,中小板
002642.SZ,2011/12/20,中小板
002643.SZ,2011/12/20,中小板
002644.SZ,2011/12/22,中小板
002645.SZ,2011/12/20,中小板
002646.SZ,2011/12/22,中小板
002647.SZ,2011/12/28,中小板
002648.SZ,2011/12/28,中小板
002649.SZ,2012/1/6,中小板
002650.SZ,2012/1/6,中小板
002651.SZ,2012/1/6,中小板
002652.SZ,2012/1/19,中小板
002653.SZ,2012/1/17,中小板
002654.SZ,2012/2/17,中小板
002655.SZ,2012/2/17,中小板
002656.SZ,2012/2/28,中小板
002657.SZ,2012/2/28,中小板
002658.SZ,2012/3/9,中小板
002659.SZ,2012/3/9,中小板
002660.SZ,2012/3/16,中小板
002661.SZ,2012/3/16,中小板
002662.SZ,2012/3/9,中小板
002663.SZ,2012/3/16,中小板
002664.SZ,2012/3/16,中小板
002665.SZ,2012/3/27,中小板
002666.SZ,2012/3/27,中小板
002667.SZ,2012/3/29,中小板
002668.SZ,2012/4/16,中小板
002669.SZ,2012/4/16,中小板
002670.SZ,2012/4/16,中小板
002671.SZ,2012/4/26,中小板
002672.SZ,2012/4/26,中小板
002673.SZ,2012/5/3,中小板
002674.SZ,2012/5/7,中小板
002675.SZ,2012/5/25,中小板
002676.SZ,2012/5/25,中小板
002677.SZ,2012/5/25,中小板
002678.SZ,2012/5/30,中小板
002679.SZ,2012/6/5,中小板
002681.SZ,2012/6/5,中小板
002682.SZ,2012/6/12,中小板
002683.SZ,2012/6/12,中小板
002684.SZ,2012/6/12,中小板
002685.SZ,2012/6/12,中小板
002686.SZ,2012/7/3,中小板
002687.SZ,2012/7/13,中小板
002688.SZ,2012/7/13,中小板
002689.SZ,2012/7/17,中小板
002690.SZ,2012/7/31,中小板
002691.SZ,2012/7/31,中小板
002692.SZ,2012/8/8,中小板
002693.SZ,2012/8/8,中小板
002694.SZ,2012/8/16,中小板
002695.SZ,2012/9/5,中小板
002696.SZ,2012/9/5,中小板
002697.SZ,2012/9/5,中小板
002698.SZ,2012/9/11,中小板
002699.SZ,2012/9/11,中小板
002700.SZ,2012/9/21,中小板
002701.SZ,2012/10/11,中小板
002702.SZ,2012/10/11,中小板
002703.SZ,2012/11/2,中小板
002705.SZ,2014/1/21,中小板
002706.SZ,2014/1/21,中小板
002707.SZ,2014/1/23,中小板
002708.SZ,2014/1/21,中小板
002709.SZ,2014/1/23,中小板
002711.SZ,2014/1/27,中小板
002712.SZ,2014/1/23,中小板
002713.SZ,2014/2/19,中小板
002714.SZ,2014/1/28,中小板
002715.SZ,2014/2/19,中小板
002716.SZ,2014/1/28,中小板
002717.SZ,2014/2/19,中小板
002718.SZ,2014/1/28,中小板
002719.SZ,2014/1/28,中小板
002721.SZ,2014/1/27,中小板
002722.SZ,2014/1/28,中小板
002723.SZ,2014/1/29,中小板
002724.SZ,2014/11/4,中小板
002725.SZ,2014/1/29,中小板
002726.SZ,2014/6/26,中小板
002727.SZ,2014/7/2,中小板
002728.SZ,2014/7/31,中小板
002729.SZ,2014/9/12,中小板
002730.SZ,2014/10/9,中小板
002731.SZ,2014/11/4,中小板
002732.SZ,2014/12/5,中小板
002733.SZ,2014/12/3,中小板
002734.SZ,2015/1/27,中小板
002735.SZ,2014/12/3,中小板
002736.SZ,2014/12/29,中小板
002737.SZ,2014/12/30,中小板
002738.SZ,2014/12/30,中小板
002739.SZ,2015/1/22,中小板
002740.SZ,2015/1/22,中小板
002741.SZ,2015/2/16,中小板
002742.SZ,2015/2/17,中小板
002743.SZ,2015/2/17,中小板
002745.SZ,2015/2/17,中小板
002746.SZ,2015/2/16,中小板
002747.SZ,2015/3/20,中小板
002748.SZ,2015/3/19,中小板
002749.SZ,2015/3/20,中小板
002750.SZ,2015/3/24,中小板
002751.SZ,2015/4/24,中小板
002752.SZ,2015/4/22,中小板
002753.SZ,2015/5/19,中小板
002755.SZ,2015/5/15,中小板
002756.SZ,2015/5/15,中小板
002757.SZ,2015/5/27,中小板
002758.SZ,2015/5/27,中小板
002759.SZ,2015/5/28,中小板
002760.SZ,2015/6/11,中小板
002761.SZ,2015/6/10,中小板
002762.SZ,2015/6/10,中小板
002763.SZ,2015/6/10,中小板
002765.SZ,2015/6/12,中小板
002766.SZ,2015/6/11,中小板
002767.SZ,2015/6/12,中小板
002768.SZ,2015/6/30,中小板
002769.SZ,2015/6/29,中小板
002770.SZ,2015/6/30,中小板
002771.SZ,2015/6/29,中小板
002772.SZ,2015/6/26,中小板
002773.SZ,2015/6/26,中小板
002774.SZ,2017/3/24,中小板
002775.SZ,2015/6/29,中小板
002776.SZ,2015/6/26,中小板
002777.SZ,2015/12/31,中小板
002778.SZ,2016/1/6,中小板
002779.SZ,2015/12/9,中小板
002780.SZ,2015/12/9,中小板
002781.SZ,2015/12/22,中小板
002782.SZ,2015/12/22,中小板
002783.SZ,2015/12/9,中小板
002785.SZ,2015/12/23,中小板
002786.SZ,2015/12/23,中小板
002787.SZ,2015/12/31,中小板
002788.SZ,2016/2/18,中小板
002789.SZ,2016/3/11,中小板
002790.SZ,2016/3/8,中小板
002791.SZ,2016/3/29,中小板
002792.SZ,2016/3/28,中小板
002793.SZ,2016/4/15,中小板
002795.SZ,2016/4/28,中小板
002796.SZ,2016/5/10,中小板
002797.SZ,2016/5/11,中小板
002798.SZ,2016/5/25,中小板
002799.SZ,2016/6/8,中小板
002800.SZ,2016/5/30,中小板
002801.SZ,2016/6/22,中小板
002802.SZ,2016/6/29,中小板
002803.SZ,2016/7/12,中小板
002805.SZ,2016/7/7,中小板
002806.SZ,2016/7/26,中小板
002807.SZ,2016/9/2,中小板
002808.SZ,2016/8/12,中小板
002809.SZ,2016/8/23,中小板
002810.SZ,2016/8/26,中小板
002811.SZ,2016/9/8,中小板
002812.SZ,2016/9/14,中小板
002813.SZ,2016/10/12,中小板
002815.SZ,2016/10/12,中小板
002816.SZ,2016/10/25,中小板
002817.SZ,2016/10/25,中小板
002818.SZ,2016/11/9,中小板
002819.SZ,2016/11/11,中小板
002820.SZ,2016/11/18,中小板
002821.SZ,2016/11/18,中小板
002822.SZ,2016/11/29,中小板
002823.SZ,2016/11/24,中小板
002824.SZ,2017/1/12,中小板
002825.SZ,2016/11/29,中小板
002826.SZ,2016/12/9,中小板
002827.SZ,2016/12/9,中小板
002828.SZ,2016/12/8,中小板
002829.SZ,2016/12/13,中小板
002830.SZ,2016/12/13,中小板
002831.SZ,2016/12/16,中小板
002832.SZ,2016/12/23,中小板
002833.SZ,2016/12/28,中小板
002835.SZ,2016/12/28,中小板
002836.SZ,2016/12/29,中小板
002837.SZ,2016/12/29,中小板
002838.SZ,2017/1/6,中小板
002839.SZ,2017/1/24,中小板
002840.SZ,2017/1/10,中小板
002841.SZ,2017/1/19,中小板
002842.SZ,2017/1/19,中小板
002843.SZ,2017/1/20,中小板
002845.SZ,2017/1/25,中小板
002846.SZ,2017/2/7,中小板
002847.SZ,2017/2/8,中小板
002848.SZ,2017/2/13,中小板
002849.SZ,2017/2/17,中小板
002850.SZ,2017/3/2,中小板
002851.SZ,2017/3/6,中小板
002852.SZ,2017/3/10,中小板
002853.SZ,2017/3/10,中小板
002855.SZ,2017/3/21,中小板
002856.SZ,2017/3/20,中小板
002857.SZ,2017/3/23,中小板
002858.SZ,2017/3/24,中小板
002859.SZ,2017/4/7,中小板
002860.SZ,2017/4/12,中小板
002861.SZ,2017/4/13,中小板
002862.SZ,2017/4/11,中小板
002863.SZ,2017/4/18,中小板
002864.SZ,2017/11/16,中小板
002865.SZ,2017/4/25,中小板
002866.SZ,2017/4/26,中小板
002867.SZ,2017/4/27,中小板
002868.SZ,2017/5/3,中小板
002869.SZ,2017/5/15,中小板
002870.SZ,2017/5/15,中小板
002871.SZ,2017/5/11,中小板
002872.SZ,2017/5/19,中小板
002873.SZ,2017/5/19,中小板
002875.SZ,2017/6/1,中小板
002876.SZ,2017/5/25,中小板
002877.SZ,2017/6/5,中小板
002878.SZ,2017/6/6,中小板
002879.SZ,2017/7/7,中小板
002880.SZ,2017/6/16,中小板
002881.SZ,2017/6/22,中小板
002882.SZ,2017/7/17,中小板
002883.SZ,2017/6/20,中小板
002884.SZ,2017/7/11,中小板
002885.SZ,2017/6/27,中小板
002886.SZ,2017/6/27,中小板
002887.SZ,2017/8/1,中小板
002888.SZ,2017/7/21,中小板
002889.SZ,2017/7/31,中小板
002890.SZ,2017/8/2,中小板
002891.SZ,2017/8/21,中小板
002892.SZ,2017/8/17,中小板
002893.SZ,2017/9/15,中小板
002895.SZ,2017/8/25,中小板
002896.SZ,2017/8/29,中小板
002897.SZ,2017/9/7,中小板
002898.SZ,2017/9/12,中小板
002899.SZ,2017/9/15,中小板
002900.SZ,2017/9/22,中小板
002901.SZ,2017/9/22,中小板
002902.SZ,2017/9/29,中小板
002903.SZ,2017/10/13,中小板
002905.SZ,2017/10/16,中小板
002906.SZ,2017/10/13,中小板
002907.SZ,2017/10/20,中小板
002908.SZ,2017/10/20,中小板
002909.SZ,2017/10/26,中小板
002910.SZ,2017/10/31,中小板
002911.SZ,2017/11/22,中小板
002912.SZ,2017/11/21,中小板
002913.SZ,2017/12/1,中小板
002915.SZ,2017/12/5,中小板
002916.SZ,2017/12/13,中小板
002917.SZ,2017/12/8,中小板
002918.SZ,2017/12/19,中小板
002919.SZ,2017/12/18,中小板
002920.SZ,2017/12/26,中小板
002921.SZ,2017/12/27,中小板
002922.SZ,2017/12/29,中小板
002923.SZ,2018/1/5,中小板
002925.SZ,2018/1/15,中小板
002926.SZ,2018/2/5,中小板
002927.SZ,2018/2/23,中小板
002928.SZ,2018/3/2,中小板
002929.SZ,2018/3/1,中小板
002930.SZ,2018/3/28,中小板
002931.SZ,2018/4/3,中小板
002932.SZ,2018/7/10,中小板
002933.SZ,2018/8/28,中小板
002935.SZ,2018/9/3,中小板
002936.SZ,2018/9/19,中小板
002937.SZ,2018/9/26,中小板
002938.SZ,2018/9/18,中小板
002939.SZ,2018/10/26,中小板
002940.SZ,2018/10/23,中小板
002941.SZ,2018/11/28,中小板
002942.SZ,2018/12/5,中小板
002943.SZ,2018/11/29,中小板
002945.SZ,2019/1/17,中小板
002946.SZ,2019/1/25,中小板
002947.SZ,2019/2/1,中小板
002948.SZ,2019/1/16,中小板
002949.SZ,2019/2/26,中小板
002950.SZ,2019/3/11,中小板
002951.SZ,2019/3/15,中小板
002952.SZ,2019/3/28,中小板
002953.SZ,2019/5/9,中小板
002955.SZ,2019/5/23,中小板
002956.SZ,2019/6/19,中小板
002957.SZ,2019/7/26,中小板
002958.SZ,2019/3/26,中小板
002959.SZ,2019/8/23,中小板
002960.SZ,2019/8/9,中小板
002961.SZ,2019/9/5,中小板
002962.SZ,2019/9/17,中小板
002963.SZ,2019/10/28,中小板
002965.SZ,2019/10/25,中小板
002966.SZ,2019/8/2,中小板
002967.SZ,2019/11/8,中小板
002968.SZ,2019/12/3,中小板
002969.SZ,2019/12/2,中小板
002970.SZ,2019/12/17,中小板
002971.SZ,2020/1/13,中小板
002972.SZ,2019/12/27,中小板
002973.SZ,2020/1/6,中小板
002975.SZ,2020/2/5,中小板
002976.SZ,2020/3/6,中小板
002977.SZ,2020/3/17,中小板
002978.SZ,2020/4/17,中小板
002979.SZ,2020/4/8,中小板
002980.SZ,2020/4/15,中小板
002981.SZ,2020/4/17,中小板
002982.SZ,2020/4/24,中小板
002983.SZ,2020/4/28,中小板
002984.SZ,2020/9/11,中小板
002985.SZ,2020/4/29,中小板
002986.SZ,2020/6/2,中小板
002987.SZ,2020/5/7,中小板
002988.SZ,2020/5/18,中小板
002989.SZ,2020/6/10,中小板
002990.SZ,2020/5/25,中小板
002991.SZ,2020/7/31,中小板
002992.SZ,2020/8/3,中小板
002993.SZ,2020/8/17,中小板
002995.SZ,2020/8/5,中小板
002996.SZ,2020/8/28,中小板
002997.SZ,2020/9/3,中小板
002998.SZ,2020/9/25,中小板
002999.SZ,2020/9/3,中小板
003000.SZ,2020/9/14,主板
003001.SZ,2020/10/13,主板
003002.SZ,2020/9/22,主板
003003.SZ,2020/9/21,主板
003004.SZ,2020/11/26,主板
003005.SZ,2020/9/22,主板
003006.SZ,2020/9/21,主板
003007.SZ,2020/9/23,主板
003008.SZ,2020/9/23,主板
003009.SZ,2020/9/25,主板
003010.SZ,2020/9/25,主板
003011.SZ,2020/9/30,主板
003012.SZ,2020/10/19,主板
003013.SZ,2020/10/22,主板
003015.SZ,2020/10/21,主板
003016.SZ,2020/10/26,主板
003017.SZ,2020/10/26,主板
003018.SZ,2020/11/6,主板
003019.SZ,2020/11/17,主板
003020.SZ,2020/12/15,主板
003021.SZ,2020/12/4,主板
003022.SZ,2020/12/8,主板
003023.SZ,2020/12/11,主板
003025.SZ,2020/12/11,主板
003026.SZ,2020/12/18,主板
003027.SZ,2020/12/18,主板
003028.SZ,2020/12/28,主板
003029.SZ,2020/12/24,主板
003030.SZ,2021/1/6,主板
003031.SZ,2021/1/4,主板
003032.SZ,2021/1/12,主板
003033.SZ,2021/1/11,主板
003035.SZ,2021/1/19,主板
003036.SZ,2021/1/28,主板
003037.SZ,2021/2/4,主板
003038.SZ,2021/2/10,主板
003039.SZ,2021/3/8,主板
003040.SZ,2021/3/22,主板
003816.SZ,2019/8/26,主板
300001.SZ,2009/10/30,创业板
300002.SZ,2009/10/30,创业板
300003.SZ,2009/10/30,创业板
300004.SZ,2009/10/30,创业板
300005.SZ,2009/10/30,创业板
300006.SZ,2009/10/30,创业板
300007.SZ,2009/10/30,创业板
300008.SZ,2009/10/30,创业板
300009.SZ,2009/10/30,创业板
300010.SZ,2009/10/30,创业板
300011.SZ,2009/10/30,创业板
300012.SZ,2009/10/30,创业板
300013.SZ,2009/10/30,创业板
300014.SZ,2009/10/30,创业板
300015.SZ,2009/10/30,创业板
300016.SZ,2009/10/30,创业板
300017.SZ,2009/10/30,创业板
300018.SZ,2009/10/30,创业板
300019.SZ,2009/10/30,创业板
300020.SZ,2009/10/30,创业板
300021.SZ,2009/10/30,创业板
300022.SZ,2009/10/30,创业板
300023.SZ,2009/10/30,创业板
300024.SZ,2009/10/30,创业板
300025.SZ,2009/10/30,创业板
300026.SZ,2009/10/30,创业板
300027.SZ,2009/10/30,创业板
300029.SZ,2009/12/25,创业板
300030.SZ,2009/12/25,创业板
300031.SZ,2009/12/25,创业板
300032.SZ,2009/12/25,创业板
300033.SZ,2009/12/25,创业板
300034.SZ,2009/12/25,创业板
300035.SZ,2009/12/25,创业板
300036.SZ,2009/12/25,创业板
300037.SZ,2010/1/8,创业板
300038.SZ,2010/1/8,创业板
300039.SZ,2010/1/8,创业板
300040.SZ,2010/1/8,创业板
300041.SZ,2010/1/8,创业板
300042.SZ,2010/1/8,创业板
300043.SZ,2010/1/20,创业板
300044.SZ,2010/1/20,创业板
300045.SZ,2010/1/20,创业板
300046.SZ,2010/1/20,创业板
300047.SZ,2010/1/20,创业板
300048.SZ,2010/1/20,创业板
300049.SZ,2010/1/20,创业板
300050.SZ,2010/1/20,创业板
300051.SZ,2010/2/11,创业板
300052.SZ,2010/2/11,创业板
300053.SZ,2010/2/11,创业板
300054.SZ,2010/2/11,创业板
300055.SZ,2010/2/26,创业板
300056.SZ,2010/2/26,创业板
300057.SZ,2010/2/26,创业板
300058.SZ,2010/2/26,创业板
300059.SZ,2010/3/19,创业板
300061.SZ,2010/3/19,创业板
300062.SZ,2010/3/19,创业板
300063.SZ,2010/3/26,创业板
300064.SZ,2010/3/26,创业板
300065.SZ,2010/3/26,创业板
300066.SZ,2010/3/26,创业板
300067.SZ,2010/4/21,创业板
300068.SZ,2010/4/21,创业板
300069.SZ,2010/4/21,创业板
300070.SZ,2010/4/21,创业板
300071.SZ,2010/4/21,创业板
300072.SZ,2010/4/27,创业板
300073.SZ,2010/4/27,创业板
300074.SZ,2010/4/27,创业板
300075.SZ,2010/4/27,创业板
300076.SZ,2010/4/30,创业板
300077.SZ,2010/4/30,创业板
300078.SZ,2010/4/30,创业板
300079.SZ,2010/4/30,创业板
300080.SZ,2010/6/25,创业板
300081.SZ,2010/5/20,创业板
300082.SZ,2010/5/20,创业板
300083.SZ,2010/5/20,创业板
300084.SZ,2010/5/20,创业板
300085.SZ,2010/5/26,创业板
300086.SZ,2010/5/26,创业板
300087.SZ,2010/5/26,创业板
300088.SZ,2010/5/26,创业板
300089.SZ,2010/6/25,创业板
300091.SZ,2010/6/25,创业板
300092.SZ,2010/7/8,创业板
300093.SZ,2010/7/8,创业板
300094.SZ,2010/7/8,创业板
300095.SZ,2010/7/28,创业板
300096.SZ,2010/7/28,创业板
300097.SZ,2010/7/28,创业板
300098.SZ,2010/7/28,创业板
300099.SZ,2010/8/6,创业板
300100.SZ,2010/8/6,创业板
300101.SZ,2010/8/6,创业板
300102.SZ,2010/8/12,创业板
300103.SZ,2010/8/12,创业板
300105.SZ,2010/8/20,创业板
300106.SZ,2010/8/20,创业板
300107.SZ,2010/8/20,创业板
300108.SZ,2010/8/25,创业板
300109.SZ,2010/8/25,创业板
300110.SZ,2010/8/25,创业板
300111.SZ,2010/8/27,创业板
300112.SZ,2010/8/27,创业板
300113.SZ,2010/8/27,创业板
300114.SZ,2010/8/27,创业板
300115.SZ,2010/9/2,创业板
300116.SZ,2010/9/2,创业板
