WindCodes,IPO_DATE,MKT
000615.SZ,1996/10/16,主板
000616.SZ,1996/11/8,主板
000617.SZ,1996/10/22,主板
000619.SZ,1996/10/23,主板
000620.SZ,1996/10/29,主板
000622.SZ,1996/11/7,主板
000623.SZ,1996/10/28,主板
000625.SZ,1997/6/10,主板
000626.SZ,1996/11/28,主板
000627.SZ,1996/11/12,主板
000628.SZ,1996/11/18,主板
000629.SZ,1996/11/15,主板
000630.SZ,1996/11/20,主板
000631.SZ,1996/11/22,主板
000632.SZ,1996/11/21,主板
000633.SZ,1996/11/12,主板
000635.SZ,1996/11/20,主板
000636.SZ,1996/11/29,主板
000637.SZ,1996/11/14,主板
000638.SZ,1996/11/26,主板
000639.SZ,1996/11/26,主板
000650.SZ,1996/12/10,主板
000651.SZ,1996/11/18,主板
000652.SZ,1996/11/28,主板
000655.SZ,1996/11/28,主板
000656.SZ,1996/11/28,主板
000657.SZ,1996/12/5,主板
000659.SZ,1996/12/3,主板
000661.SZ,1996/12/18,主板
000662.SZ,1996/12/16,主板
000663.SZ,1996/12/6,主板
000665.SZ,1996/12/10,主板
000666.SZ,1996/12/10,主板
000667.SZ,1996/12/5,主板
000668.SZ,1996/12/10,主板
000669.SZ,1996/12/10,主板
000670.SZ,1996/12/17,主板
000671.SZ,1996/12/18,主板
000672.SZ,1996/12/18,主板
000673.SZ,1997/1/24,主板
000676.SZ,1996/12/24,主板
000677.SZ,1996/12/26,主板
000678.SZ,1997/1/6,主板
000679.SZ,1997/1/24,主板
000680.SZ,1997/1/22,主板
000681.SZ,1997/1/21,主板
000682.SZ,1997/1/21,主板
000683.SZ,1997/1/31,主板
000685.SZ,1997/1/23,主板
000686.SZ,1997/2/27,主板
000687.SZ,1997/2/21,主板
000688.SZ,1997/1/20,主板
000690.SZ,1997/1/28,主板
000691.SZ,1997/2/28,主板
000692.SZ,1997/2/27,主板
000695.SZ,1997/2/18,主板
000697.SZ,1997/3/25,主板
000698.SZ,1997/2/20,主板
000700.SZ,1997/2/28,主板
000701.SZ,1997/2/26,主板
000702.SZ,1997/3/18,主板
000703.SZ,1997/3/28,主板
000705.SZ,1997/4/10,主板
000707.SZ,1997/4/15,主板
000708.SZ,1997/3/26,主板
000709.SZ,1997/4/16,主板
000710.SZ,1997/4/22,主板
000711.SZ,1997/4/11,主板
000712.SZ,1997/4/15,主板
000713.SZ,1997/4/22,主板
000715.SZ,1997/5/8,主板
000716.SZ,1997/4/18,主板
000717.SZ,1997/5/8,主板
000718.SZ,1997/4/8,主板
000719.SZ,1997/3/31,主板
000720.SZ,1997/5/9,主板
000721.SZ,1997/4/30,主板
000722.SZ,1997/5/22,主板
000723.SZ,1997/5/15,主板
000725.SZ,2001/1/12,主板
000726.SZ,2000/12/25,主板
000727.SZ,1997/5/20,主板
000728.SZ,1997/6/16,主板
000729.SZ,1997/7/16,主板
000731.SZ,1997/6/17,主板
000732.SZ,1997/7/4,主板
000733.SZ,1997/7/3,主板
000735.SZ,1997/6/11,主板
000736.SZ,1997/4/25,主板
000737.SZ,1997/4/28,主板
000738.SZ,1997/6/26,主板
000739.SZ,1997/5/9,主板
000750.SZ,1997/7/9,主板
000751.SZ,1997/6/26,主板
000752.SZ,1997/6/25,主板
000753.SZ,1997/6/26,主板
000755.SZ,1997/6/27,主板
000756.SZ,1997/8/6,主板
000757.SZ,1997/6/27,主板
000758.SZ,1997/4/16,主板
000759.SZ,1997/5/19,主板
000760.SZ,1997/6/27,主板
000761.SZ,1998/1/15,主板
000762.SZ,1997/7/8,主板
000766.SZ,1997/4/30,主板
000767.SZ,1997/6/9,主板
000768.SZ,1997/6/26,主板
000776.SZ,1997/6/11,主板
000777.SZ,1997/7/10,主板
000778.SZ,1997/6/6,主板
000779.SZ,1997/5/28,主板
000780.SZ,1997/6/6,主板
000782.SZ,1997/6/19,主板
000783.SZ,1997/7/31,主板
000785.SZ,1997/7/11,主板
000786.SZ,1997/6/6,主板
000788.SZ,1997/6/16,主板
000789.SZ,1997/9/23,主板
000790.SZ,1998/3/27,主板
000791.SZ,1997/10/14,主板
000792.SZ,1997/9/4,主板
000793.SZ,1997/7/29,主板
000795.SZ,1997/8/8,主板
000796.SZ,1997/7/3,主板
000797.SZ,1997/7/15,主板
000798.SZ,1998/2/12,主板
000799.SZ,1997/7/18,主板
000800.SZ,1997/6/18,主板
000801.SZ,1998/5/6,主板
000802.SZ,1998/1/8,主板
000803.SZ,1998/3/3,主板
000806.SZ,1998/4/16,主板
000807.SZ,1998/4/8,主板
000809.SZ,1998/6/16,主板
000810.SZ,1998/6/2,主板
000811.SZ,1998/5/28,主板
000812.SZ,1998/6/23,主板
000813.SZ,1998/5/19,主板
000815.SZ,1998/6/9,主板
000816.SZ,1997/8/18,主板
000818.SZ,1997/10/17,主板
000819.SZ,1997/6/25,主板
000820.SZ,1998/6/30,主板
000821.SZ,1998/6/26,主板
000822.SZ,1998/7/3,主板
000823.SZ,1997/10/8,主板
000825.SZ,1998/10/21,主板
000826.SZ,1998/2/25,主板
000828.SZ,1997/6/17,主板
000829.SZ,1997/12/2,主板
000830.SZ,1998/8/7,主板
000831.SZ,1998/9/11,主板
000833.SZ,1998/11/11,主板
000835.SZ,1999/6/25,主板
000836.SZ,1997/9/29,主板
000837.SZ,1998/9/28,主板
000838.SZ,1997/6/26,主板
000839.SZ,1997/10/31,主板
000848.SZ,1997/11/13,主板
000850.SZ,1998/10/7,主板
000851.SZ,1998/6/9,主板
000852.SZ,1998/11/26,主板
000856.SZ,1998/8/13,主板
000858.SZ,1998/4/27,主板
000859.SZ,1998/11/19,主板
