month,r,r0,mkt_var,mkt_skew,mkt_kurt,var_ew,skew_ew,kurt_ew,ILLIQ_ew,var_vw,skew_vw,kurt_vw,ILLIQ_vw,DM,LR,FE,GDPGR,year
2007-01-01,0.0725479624419477,0.160759390138331,0.0194516107650226,-0.838895972881868,0.203171041040449,0.0459266540601251,-0.132016147659605,-0.159216022555984,-6.44035972212487,0.0375191593574486,-0.239481055991086,-0.0750240229879628,-8.08953298953948,1.7357383476207,0.0558,0.342,0.138,2007
2007-02-01,0.096227003379756,0.0725479624419477,0.00365238212740421,-2.06674677950274,3.52996409945484,0.0141299637543443,-0.586944388936837,0.812602253111337,-6.59628142026918,0.0141256704972717,-0.506516331632641,0.356921143715192,-7.99624691589813,1.84068354278791,0.0558,0.2016,0.138,2007
2007-03-01,0.257405507717646,0.096227003379756,0.00305912451339606,-0.664392728195133,-0.448320301896925,0.0368625144014467,0.136886589143881,0.239846731774214,-6.8415900033858,0.0161687097177843,0.274344581207552,0.0575175260888221,-8.40357828129822,1.84720777414619,0.0567,0.2238,0.138,2007
2007-04-01,0.0705273911799191,0.257405507717646,0.00622392222529632,-1.99811469823521,4.01878506381586,0.159518414139863,-0.23798202269846,0.645666834453274,-6.23940421177226,0.0258358043899866,-0.222122529691195,0.382453285973394,-8.15635142341774,1.87696784567905,0.0567,0.3657,0.15,2007
2007-05-01,-0.118230745935755,0.0705273911799191,0.0111322959711579,-1.81005525224838,2.82865906843033,0.0485393670573332,-0.363823253440838,0.258527270540675,-5.61772307645999,0.0245719113853081,-0.2713071749049,0.893388917288343,-8.07539616300244,1.83796491750578,0.0584999999999999,0.3421,0.15,2007
2007-06-01,0.164013420685721,-0.118230745935755,0.0372613148191478,-0.701208719807616,-0.815397070919441,0.0945620959444742,-0.0840640687810452,-0.551299176238002,-6.31593624769441,0.0468228178111599,-0.401597261267147,0.627212547901041,-8.02134322393616,1.78129835388826,0.0584999999999999,0.302,0.15,2007
2007-07-01,0.127704326191085,0.164013420685721,0.0176633576005257,-0.647955826487872,0.386850724437349,0.0638996724055948,-0.229173939680106,0.0945931156664342,-6.30878419811047,0.0255950410077742,-0.0554672937026134,0.0564672631591826,-8.16710331288852,1.81776366450835,0.0603,0.289,0.143,2007
2007-08-01,-0.00194355091609259,0.127704326191085,0.00708657580716109,-0.202527719419617,0.609544072743285,0.205720559435954,0.170014502105247,0.41483915123613,-7.10880189135156,0.0316314807661846,0.498166944835034,0.248916880056234,-8.6834117017472,1.74626728478626,0.0621,0.2966,0.143,2007
2007-09-01,-0.0636577602627686,-0.00194355091609259,0.00681122028514171,-0.615272254025315,-0.0492738574006761,0.0659908069889012,-0.0348029723229539,0.0787072352059594,-7.30237478404494,0.0199568139763489,0.0530548959171854,-0.0548895418463244,-8.70451995543515,1.75681732096785,0.0648,0.422199999999999,0.143,2007
2007-10-01,-0.194288833563627,-0.0636577602627686,0.0214337772423112,-1.85096494332591,1.91304543850182,0.0754073408391753,-0.555185079939914,0.732087174099674,-4.48274422110276,0.0403852840263318,-0.0798685159888928,0.0181361973161868,-7.53167574997697,1.72524020678146,0.0648,0.4069,0.139,2007
