r,r0,date,mkt_var,mkt_skew,mkt_kurt,var_ew,skew_ew,kurt_ew,var_vw,skew_vw,kurt_vw
0.009983937830414666,0.02508101017295105,2007-01-31,0.015596687140475357,-0.3083459786204599,-0.7038968297066126,0.002133125118031851,-0.15323174330995476,-0.14768869630328932,0.001907617789335958,-0.2336372998734584,-0.05193264195599487
0.09045141377354826,0.009983937830414666,2007-02-28,0.005015324831235176,-1.6001257405573506,2.212920265764846,0.000952714331523498,-0.5099440578247382,0.6711957521163537,0.0009511525701955788,-0.4892461002623727,0.32746992519030493
0.1816174922430243,0.09045141377354826,2007-03-30,0.0018456582392379307,-0.748057024857487,0.45422152683677774,0.001506926858008414,0.09521057478266433,0.15331573462895473,0.0007865845629639966,0.26086074113568986,0.060110491202568284
0.04991817298807953,0.1816174922430243,2007-04-30,0.006405551940061424,-1.7025143526790611,3.3157338845299513,0.006809862876591696,-0.24618293622638027,0.6492729035491627,0.0012893270683006297,-0.22286795246008254,0.3986465988073368
-0.08987632967501769,0.04991817298807953,2007-05-31,0.0061383164643315,-2.0312426920287128,3.0228924738858254,0.0032539097813873066,-0.33799325123293766,0.11026777977275916,0.0014671519349923408,-0.26516158653663324,0.8268594481728561
0.14769848455539708,-0.08987632967501769,2007-06-29,0.021585299599102787,-0.9841995848045255,0.4188520365037012,0.004361232594422462,-0.0294850395214968,-0.5926159295180639,0.0023515758082173427,-0.37679174066681276,0.5536937110706581
0.1495649420910011,0.14769848455539708,2007-07-31,0.0128086720853901,-0.6589049068763877,0.5710024051981479,0.0029527840115067872,-0.24470614645064828,0.007167199294022871,0.0012169140732578784,-0.0690634441443681,0.02652464185580041
0.034281316087238375,0.1495649420910011,2007-08-31,0.007380686661380996,-0.10397984318978813,1.1393022585523074,0.002485364350266727,0.08134490414522966,0.22417923288863237,0.0013668658340172436,0.46462741027206017,0.22727728872332556
0.04538919603327036,0.034281316087238375,2007-09-28,0.006645612917265633,-0.5332033097880395,-0.3149614110944019,0.0015141376331300389,-0.049643223967871075,-0.03888328867744904,0.001101685751868723,0.044893153872569286,-0.10189406486242208
-0.20228014662725072,0.04538919603327036,2007-10-31,0.024106211893389816,-1.479436359886497,0.9832328710984317,0.0034439399481083644,-0.5677354931774169,0.6922013948299578,0.0024063231705480264,-0.11888651106207443,0.058080924003830976
0.061218294726275185,-0.20228014662725072,2007-11-30,0.007690747556584732,1.01224483835132,1.0160894109037324,0.0015788881927106945,-0.13126430679870002,0.14709621449425217,0.001055479398325873,0.4034641439314347,0.14265929825681797
-0.1867018130228022,0.061218294726275185,2007-12-28,0.006284290410885441,-0.5393493335255217,-0.57453975582838,0.0010432996426696674,0.045479102189810834,0.8096808734545428,0.0007906955733231959,-0.09710666961512843,0.27722272212560417
